Country,Age group,Gender,Role,AI usage frequency,Tasks to automate ,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
United Kingdom,26–60,Prefer not to say,Working Professional,Daily,Data & Analysis,Safety‑Critical Decisions,5,4,4,2,5,Analytical tasks,High-risk tasks,No,Ethical guidelines,Negative,Not sure,Human supervision always,Assist only when asked
India,18–25,Prefer not to say,Working Professional,Weekly,Research & Information,Safety‑Critical Decisions,2,3,1,3,2,Analytical tasks,Sensitive personal data,No,Ethical guidelines,Negative,Yes,AI handles small tasks only,Assist only when asked
India,18–25,Prefer not to say,Working Professional,Occasionally,Research & Information,Medical & Health Decisions,4,1,2,2,5,Analytical tasks,Sensitive personal data,No,Transparency,Negative,Not sure,Human final approval required,Protect privacy
Australia,Under 18,Female,Student,Occasionally,Repetitive & Routine Tasks,Legal & Policy Decisions,5,1,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Negative,No,Human supervision always,Be transparent
United Kingdom,18–25,Prefer not to say,Student,Occasionally,Research & Information,Medical & Health Decisions,2,2,1,5,2,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Not sure,Human supervision always,Assist only when asked
Russia,18–25,Female,Student,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,2,3,2,4,5,Data-heavy tasks,Requires empathy,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Australia,26–60,Male,Working Professional,Daily,Writing & Documentation,Safety‑Critical Decisions,3,1,3,2,5,Low-risk tasks,High-risk tasks,Yes,Accuracy,Negative,Not sure,Human supervision always,Be transparent
Bangladesh,18–25,Male,Student,Occasionally,Repetitive & Routine Tasks,Safety‑Critical Decisions,3,3,3,3,2,Data-heavy tasks,Sensitive personal data,No,Human oversight,Cautious,Not sure,Human supervision always,Protect privacy
Bangladesh,18–25,Male,Student,Daily,Study & Learning Support,Legal & Policy Decisions,1,1,3,2,5,Repetitive work,Creative judgment,No,Human oversight,Curious but worried,Not sure,Shared control,Be transparent
USA,26–60,Female,Working Professional,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,2,4,5,1,5,Repetitive work,Requires empathy,Yes,Transparency,Cautious,Not sure,Human final approval required,Protect privacy
Australia,26–60,Male,Student,Daily,Study & Learning Support,Emotional & Personal Matters,2,4,5,1,3,Analytical tasks,Requires empathy,Yes,Ethical guidelines,Cautious,Yes,Human supervision always,Assist only when asked
Australia,Under 18,Female,Student,Daily,Research & Information,Emotional & Personal Matters,3,3,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Human supervision always,Assist only when asked
Russia,18–25,Male,Working Professional,Weekly,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,1,1,3,1,Low-risk tasks,Creative judgment,No,Human oversight,Cautious,No,AI handles small tasks only,Be transparent
USA,26–60,Prefer not to say,Student,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,3,4,1,1,5,Low-risk tasks,High-risk tasks,Yes,Training,Mixed,No,Shared control,Do not decide personal matters
USA,Under 18,Prefer not to say,Student,Occasionally,Data & Analysis,Legal & Policy Decisions,3,4,1,2,5,Low-risk tasks,Creative judgment,Yes,Training,Curious but worried,No,Shared control,Assist only when asked
United Kingdom,18–25,Female,Student,Weekly,Research & Information,Legal & Policy Decisions,1,2,3,5,5,Analytical tasks,Requires empathy,Yes,Training,Negative,Yes,Human supervision always,Be transparent
USA,18–25,Prefer not to say,Student,Daily,Repetitive & Routine Tasks,Creative & Value Judgment,2,4,4,3,3,Repetitive work,Requires empathy,Yes,Training,Positive,No,AI handles small tasks only,Do not decide personal matters
Bangladesh,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,3,3,3,2,4,Data-heavy tasks,Creative judgment,Yes,Human oversight,Negative,Yes,Shared control,Protect privacy
Bangladesh,Under 18,Male,Working Professional,Daily,Data & Analysis,Emotional & Personal Matters,1,3,1,2,2,Repetitive work,Sensitive personal data,No,Training,Cautious,Yes,AI handles small tasks only,Be transparent
Australia,18–25,Prefer not to say,Student,Daily,Research & Information,Emotional & Personal Matters,1,1,4,3,4,Repetitive work,Requires empathy,No,Human oversight,Curious but worried,Not sure,Human supervision always,Be transparent
Australia,Under 18,Male,Student,Occasionally,Data & Analysis,Emotional & Personal Matters,3,2,1,3,4,Repetitive work,Requires empathy,No,Human oversight,Cautious,Yes,Shared control,Do not decide personal matters
Australia,18–25,Female,Working Professional,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,4,2,1,1,2,Analytical tasks,Requires empathy,Yes,Transparency,Curious but worried,Not sure,AI handles small tasks only,Be transparent
USA,26–60,Prefer not to say,Student,Daily,Repetitive & Routine Tasks,Creative & Value Judgment,4,2,1,1,3,Repetitive work,Sensitive personal data,Yes,Transparency,Negative,Yes,AI handles small tasks only,Protect privacy
India,26–60,Female,Student,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,4,5,4,2,3,Low-risk tasks,Requires empathy,No,Ethical guidelines,Positive,Not sure,Shared control,Do not decide personal matters
