Country,Age group,Gender,Occupation / Role,AI usage frequency,Tasks to automate,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
United Kingdom,26–35,Prefer not to say,Freelancer,Daily,Data analysis,Safety-critical tasks,5,4,4,2,5,Analytical tasks,High-risk tasks,No,Ethical guidelines,Negative,Not sure,Human supervision always,Assist only when asked
India,18–25,Prefer not to say,Working Professional,Weekly,Research,Safety-critical tasks,2,3,1,3,2,Analytical tasks,Sensitive personal data,No,Ethical guidelines,Negative,Yes,AI handles small tasks only,Assist only when asked
India,18–25,Prefer not to say,Freelancer,Occasionally,Research,Medical decisions,4,1,2,2,5,Analytical tasks,Sensitive personal data,No,Transparency,Negative,Not sure,Human final approval required,Protect privacy
Australia,Under 18,Female,Student,Occasionally,Repetitive work,Legal decisions,5,1,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Negative,No,Human supervision always,Be transparent
United Kingdom,36–50,Prefer not to say,Student,Occasionally,Research,Medical decisions,2,2,1,5,2,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Not sure,Human supervision always,Assist only when asked
Russia,36–50,Female,Unemployed,Weekly,Routine tasks,Medical decisions,2,3,2,4,5,Data-heavy tasks,Requires empathy,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Australia,26–35,Male,Working Professional,Daily,Writing tasks,Safety-critical tasks,3,1,3,2,5,Low-risk tasks,High-risk tasks,Yes,Accuracy,Negative,Not sure,Human supervision always,Be transparent
Bangladesh,36–50,Male,Student,Occasionally,Repetitive work,Safety-critical tasks,3,3,3,3,2,Data-heavy tasks,Sensitive personal data,No,Human oversight,Cautious,Not sure,Human supervision always,Protect privacy
Bangladesh,36–50,Male,Student,Daily,Study help,Legal decisions,1,1,3,2,5,Repetitive work,Creative judgment,No,Human oversight,Curious but worried,Not sure,Shared control,Be transparent
USA,26–35,Female,Working Professional,Daily,Repetitive work,Emotional tasks,2,4,5,1,5,Repetitive work,Requires empathy,Yes,Transparency,Cautious,Not sure,Human final approval required,Protect privacy
Australia,26–35,Male,Unemployed,Daily,Study help,Emotional tasks,2,4,5,1,3,Analytical tasks,Requires empathy,Yes,Ethical guidelines,Cautious,Yes,Human supervision always,Assist only when asked
Australia,Under 18,Female,Unemployed,Daily,Research,Emotional tasks,3,3,2,2,5,Data-heavy tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Human supervision always,Assist only when asked
Russia,36–50,Male,Working Professional,Weekly,Repetitive work,Safety-critical tasks,4,1,1,3,1,Low-risk tasks,Creative judgment,No,Human oversight,Cautious,No,AI handles small tasks only,Be transparent
USA,26–35,Prefer not to say,Student,Daily,Routine tasks,Medical decisions,3,4,1,1,5,Low-risk tasks,High-risk tasks,Yes,Training,Mixed,No,Shared control,Do not decide personal matters
USA,Under 18,Prefer not to say,Unemployed,Occasionally,Data analysis,Legal decisions,3,4,1,2,5,Low-risk tasks,Creative judgment,Yes,Training,Curious but worried,No,Shared control,Assist only when asked
United Kingdom,18–25,Female,Student,Weekly,Research,Legal decisions,1,2,3,5,5,Analytical tasks,Requires empathy,Yes,Training,Negative,Yes,Human supervision always,Be transparent
USA,18–25,Prefer not to say,Student,Daily,Repetitive work,Creative judgment,2,4,4,3,3,Repetitive work,Requires empathy,Yes,Training,Positive,No,AI handles small tasks only,Do not decide personal matters
Bangladesh,18–25,Male,Working Professional,Daily,Routine tasks,Emotional tasks,3,3,3,2,4,Data-heavy tasks,Creative judgment,Yes,Human oversight,Negative,Yes,Shared control,Protect privacy
Bangladesh,Under 18,Male,Freelancer,Daily,Data analysis,Emotional tasks,1,3,1,2,2,Repetitive work,Sensitive personal data,No,Training,Cautious,Yes,AI handles small tasks only,Be transparent
Australia,36–50,Prefer not to say,Unemployed,Daily,Research,Emotional tasks,1,1,4,3,4,Repetitive work,Requires empathy,No,Human oversight,Curious but worried,Not sure,Human supervision always,Be transparent
Australia,Under 18,Male,Student,Occasionally,Data analysis,Emotional tasks,3,2,1,3,4,Repetitive work,Requires empathy,No,Human oversight,Cautious,Yes,Shared control,Do not decide personal matters
Australia,18–25,Female,Freelancer,Weekly,Repetitive work,Medical decisions,4,2,1,1,2,Analytical tasks,Requires empathy,Yes,Transparency,Curious but worried,Not sure,AI handles small tasks only,Be transparent
USA,26–35,Prefer not to say,Student,Daily,Repetitive work,Creative judgment,4,2,1,1,3,Repetitive work,Sensitive personal data,Yes,Transparency,Negative,Yes,AI handles small tasks only,Protect privacy
India,26–35,Female,Student,Daily,Routine tasks,Emotional tasks,4,5,4,2,3,Low-risk tasks,Requires empathy,No,Ethical guidelines,Positive,Not sure,Shared control,Do not decide personal matters
Bangladesh,26–35,Prefer not to say,Freelancer,Occasionally,Repetitive work,Safety-critical tasks,5,2,4,2,3,Low-risk tasks,High-risk tasks,Yes,Transparency,Cautious,Yes,AI handles small tasks only,Protect privacy
Bangladesh,Under 18,Male,Unemployed,Occasionally,Research,Legal decisions,1,3,2,5,1,Repetitive work,High-risk tasks,Yes,Training,Negative,Yes,AI handles small tasks only,Be transparent
Russia,26–35,Prefer not to say,Unemployed,Daily,Writing tasks,Medical decisions,1,1,1,5,1,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Shared control,Do not decide personal matters
Australia,26–35,Male,Unemployed,Daily,Repetitive work,Legal decisions,5,2,2,3,1,Repetitive work,High-risk tasks,No,Human oversight,Curious but worried,Yes,Human final approval required,Protect privacy
Australia,Under 18,Male,Student,Weekly,Study help,Creative judgment,2,4,2,1,2,Repetitive work,Creative judgment,Yes,Accuracy,Curious but worried,No,Shared control,Do not decide personal matters
Russia,18–25,Prefer not to say,Student,Occasionally,Routine tasks,Legal decisions,2,5,5,4,4,Analytical tasks,Requires empathy,No,Accuracy,Negative,Not sure,AI handles small tasks only,Assist only when asked
Russia,36–50,Female,Unemployed,Daily,Repetitive work,Emotional tasks,5,5,2,4,5,Analytical tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Yes,AI handles small tasks only,Be transparent
United Kingdom,36–50,Female,Freelancer,Occasionally,Research,Emotional tasks,5,3,2,3,2,Data-heavy tasks,Creative judgment,Yes,Training,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
Australia,26–35,Male,Student,Daily,Repetitive work,Creative judgment,3,4,4,5,4,Repetitive work,Creative judgment,Yes,Transparency,Positive,Yes,Human supervision always,Assist only when asked
India,26–35,Prefer not to say,Student,Occasionally,Routine tasks,Creative judgment,2,3,1,2,3,Analytical tasks,High-risk tasks,No,Accuracy,Mixed,No,Human supervision always,Assist only when asked
Australia,Under 18,Female,Working Professional,Daily,Writing tasks,Emotional tasks,2,3,5,2,4,Low-risk tasks,Sensitive personal data,No,Accuracy,Mixed,Yes,AI handles small tasks only,Be transparent
Australia,Under 18,Male,Freelancer,Weekly,Repetitive work,Medical decisions,1,3,1,5,2,Repetitive work,Requires empathy,Yes,Human oversight,Mixed,Not sure,Shared control,Do not decide personal matters
Australia,36–50,Female,Working Professional,Weekly,Routine tasks,Safety-critical tasks,3,2,4,3,1,Analytical tasks,Creative judgment,Yes,Training,Mixed,No,Human supervision always,Be transparent
Bangladesh,18–25,Male,Working Professional,Weekly,Writing tasks,Safety-critical tasks,5,3,2,5,4,Repetitive work,Sensitive personal data,No,Ethical guidelines,Mixed,No,Human supervision always,Do not decide personal matters
Russia,36–50,Male,Freelancer,Occasionally,Study help,Medical decisions,1,1,1,4,1,Low-risk tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Not sure,Shared control,Be transparent
Bangladesh,26–35,Male,Working Professional,Daily,Routine tasks,Creative judgment,1,1,3,5,3,Data-heavy tasks,High-risk tasks,Yes,Human oversight,Negative,No,Human supervision always,Protect privacy
USA,36–50,Prefer not to say,Freelancer,Occasionally,Writing tasks,Medical decisions,1,5,5,5,2,Data-heavy tasks,High-risk tasks,Yes,Transparency,Positive,No,Shared control,Assist only when asked
